entrez	order	max_neg	min_neg	mean_neg	sd_neg	GO_P1	GO_P2	GO_P3	GO_P4	GO_P5	GO_P6	GO_P7	GO_P8	GO_P9	GO_P10	GO_P11	GO_P12	GO_P13	GO_P14	GO_P15	GO_P16	GO_P17
8605	16960	10.989	6.229	8.33475229357798	0.981281004756342	8.21853979817335e-05	1.41407860069547e-05	0.0228492372988091	0.0270772094362083	3.3966045256475e-05	0.000302026510478755	9.53379605781428e-05	0.00442648675742892	3.63063128877618e-05	0.0284826204343001	0.0298860792557644	0.00122394096294678	0.00109182430775696	0.00961827015489165	0.00273611716926949	0.0114880969028237	1
10625	14968	9.383333	6.946667	7.90243421100917	0.369002737199626	7.18473837103487e-06	1.21763416828826e-06	4.8541799363387e-05	6.90953083355443e-05	0.000378726526819979	6.18450014715066e-05	0.000752027235176789	0.000930561842826475	0.00335051152230869	0.0132430129572135	8.47911053262667e-05	0.000252965211360753	1	0.00205760439844874	0.00057077799073197	1	1
60492	16084	9.7535	8.2285	8.92252752293578	0.300428188520478	0.0130348990681828	0.0073065121196052	0.00354757003453932	6.31308635337597e-06	3.4860405630069e-05	0.00399035167963468	0.0136942677823556	8.62907683377469e-05	0.000316533830966322	0.00443298574314799	0.00465424744206044	0.0079687492491517	0.00752729465791602	0.0226725697784349	5.26937398739755e-05	1	1
152189	9993	11.262	6.809	8.80207339449541	0.869025760458888	0.000373920057662316	0.000116168687847988	1	0.00945266666452393	0.0217693453446048	0.00895714523714242	0.0305528678478949	0.000511365042490082	3.12607582935805e-05	0.00994796784792418	0.010443048873003	0.0178429034120761	0.0168591067151257	1.48636698257615e-05	0.000313134710067223	1	1
900	10101	9.322	7.301	8.13093119266055	0.369970378368135	9.27058478459088e-10	1.25441586888248e-08	7.71056607185903e-05	4.48710643923883e-07	6.05667935073376e-06	9.82151811687711e-05	1.71406960232172e-05	2.6038905620818e-07	6.53760449709105e-10	5.27631101006913e-07	0.0173472896109257	3.27831349452085e-06	0.027944902049161	0.00323706780419128	0.000902835581620341	1	1
400966	7011	6.9795	5.979	6.27818348623853	0.234710545342856	0.000219041950717543	6.79207187287152e-05	0.00620050095637903	0.00735941851631527	0.0169721000270266	0.0069732414435435	0.0238437239451184	0.000299778702863127	0.00109198363324448	2.45000576601833e-05	1	0.0139047617868732	0.0131366466796382	1	0.0207947692531943	1	1
84937	16552	7.438	5.709	6.06678899082569	0.186989308141287	0.000803359332225933	0.000250546885398706	1.63420555566032e-07	8.16067420665546e-05	3.82007596386779e-06	7.30462874084949e-05	1.08272088570234e-05	0.00109703567066785	0.00394075494630658	0.0143390442657142	0.00010013724877232	0.000298583190675611	1	4.97712224978257e-05	7.12467008830414e-06	0.00575856688569854	1
10964	1714	9.911	5.942	7.38836697247706	0.919382277125068	0.0194895667873421	4.85704929475338e-05	1	1	8.68804323838002e-05	0.0059798835656939	0.0204720421002489	1	0.0431646888535417	0.00664247159930365	1	1	0.0112702903545242	0.0338172033337025	0.0178502830932473	1	1
347168	3454	9.076	6.2015	6.6875871559633	0.414930548874217	0.0194895667873421	1	1	1	0.0145648634064335	1	0.000173206361921844	0.00021465927130468	0.000783750067791829	1	0.0069736275705452	1	1	1	0.000131228119262936	0.00266141625398386	0.00232906237992259
23549	7964	8.645	5.968	7.53439449541284	0.493787797772159	2.46340193923825e-10	4.56660050886262e-09	1.25776196778266e-07	6.90953083355443e-05	2.94354117562705e-06	3.43316913536667e-10	8.34910779945143e-06	9.52487171276989e-08	8.05642741109275e-05	2.55660761615169e-07	1.01369278752133e-12	0.000252965211360753	0.0224172562124596	3.84452716030453e-05	3.50303551481704e-08	0.00531663270051619	0.00465347361347845
10391	1546	7.175	5.9035	6.22757798165138	0.206299720991265	0.000219041950717543	6.79207187287152e-05	0.00620050095637903	0.00735941851631527	1.07652517954536e-09	1.97362985996458e-05	1.3446891428702e-06	0.0265048805636316	1.31661541601887e-05	2.45000576601833e-05	0.00813138649909395	8.0996765193742e-05	0.0131366466796382	0.0393422326506372	8.83083506054237e-07	0.0031043825359055	1
4621	696	8.196	5.918	6.50607339449541	0.387929802413282	0.06352475597721	0.0360183157190468	0.0176202032115449	1	0.0477480372964278	0.0198018749088344	0.00212689246277535	0.00262640591077339	0.136824601216675	1	0.000242726890162112	0.0392308714574249	1	0.0057496021349528	0.0582936481752974	0.00884729855147925	1
10393	12757	9.607	6.073	7.91553211009174	0.423444354838484	0.000291440606017726	9.04571262650309e-05	0.00708333877686074	0.00840656587338517	0.0193735895389253	0.00796566172303992	0.0272039865132934	0.0302343327451379	0.0571379224613527	1	0.00928785981448532	0.0158757477718642	1	0.0448359725893962	1	1	1
56666	11495	7.687	5.891	6.34496330275229	0.394534369873162	0.000681199189767251	0.0217645553319472	1	1	0.000378726526819979	0.0119259835062606	0.000752027235176789	0.000930561842826475	1.30169421017799e-06	0.0132430129572135	0.0139009240498078	1	0.0224172562124596	0.0665015333934079	5.49216631903431e-06	0.00531663270051619	0.00465347361347845
53405	13462	10.174	6.084	7.42411009174312	0.818556988439498	0.0448958312548275	0.0253470370309654	0.0123649446080522	0.0146675066780663	0.000520564288442962	0.0139005404317352	0.0471278788245443	0.0523171670895904	0.000131873645237155	0.0154339189735552	0.000116744693779583	0.0276214790799237	1	0.00281592878928704	9.04852782860418e-06	0.00620032925531322	1
84321	10091	8.535	6.108333	7.32407039449541	0.404257065673495	0.0354452376613492	0.0199685294237435	1	0.011541732499846	1	1	1	1	0.0777189301085465	6.39960751819199e-05	1	0.0217657525708289	1	1	1	1	1
131177	11039	12.499	6.143	9.76888073394495	1.67354197307504	1	1	1	1	1	1	1	1	1	1	0.00581458167119986	1	1	1.79923589170913e-06	0.0148971072642499	0.00221827775523531	0.00194120852213386
63906	11280	8.353	6.042	7.48810091743119	0.413027372085366	1.15643540982415e-06	3.24978159374717e-10	2.00640884336362e-08	2.20541336479603e-05	0.000121443682877035	1.97362985996458e-05	0.000241951031033433	0.000299778702863127	1.31661541601887e-05	4.081753795271e-08	0.00813138649909395	8.0996765193742e-05	0.0131366466796382	0.000667027432093996	8.83083506054237e-07	1	1
